Site,IRIS,CMDB
USERO,IDT - Omni-ID Inc US,East Rochester (West Commercial Street),Barford, Zak,
USSYR,PDS Sales US,East Syracuse, NY (Corporate Cir),Granath, Johan,
USEAS,Curries,Easton, PA (Conroy PL),Granath, Johan,
NLEDE,PDS Netherlands,Ede,Granath, Johan,
USMIN,Corporate HIDG US,Eden Prairie, MN (Fargo),Granath, Johan,
CAEDW,PDS Canada,Edmonton, AB (106 Ave),Granath, Johan,
FREGU,record Elevators Holding France (PACA),Eguilles (chemin des Vallades),Granath, Johan,
USELP,SDA Sales US,El Paso, TX (Common Dr),Granath, Johan,
USELO,BSI DB NA CS Tamu US,El Paso, TX (Lomaland Dr),Granath, Johan,
USGRO,PDS Sales US,Elk Grove Village, IL (Jarvis),Granath, Johan,
USELR,SDA Sales US,Elkridge, MD (Dorsey Run Rd),Granath, Johan,
USELM,PS Ameristar US,Elmhurst, IL (Industrial Dr.),Granath, Johan,
USDEE,PDS Sales US,Englewood, CO (American Way),Granath, Johan,
SEENK,CERTEGO Sweden,Enköping (?gatan),Granath, Johan,
AUEPP,record Seven Hills Australia (RAU),Epping (Scanlon Drive),Granath, Johan,
UKERD,Paddock,Erdington (Merlin Park),Granath, Johan,
DEEFT,Effeff Electromechanical,Erfurt (Am Urbicher Kreuz 28),Granath, Johan,
MXNUV,SDA Employees Mexico (ACD),Escobedo (Blvd López Portillo),Granath, Johan,
ESESC,Tesa Spain Domestic,Escoriaza (Aranburuzabala),Granath, Johan,
SELTU,CERTEGO Sweden,Eskilstuna (Kungsgatan 67),Granath, Johan,
SEESK,ASSA ABLOY Opening Solutions Scandinavian Operations,Eskilstuna (Kungsgatan 73c),Granath, Johan,
FIESD,Certego Finland,Espoo (Kutojantie),Granath, Johan,
FIHES,Abloy Locks,Espoo (Lars Sonckin kaari),Granath, Johan,
FIPOO,Abloy Locks,Espoo (Linnoitustie),Sällinen, Tuomas,
FIESO,Certego Finland,Espoo (Tietäjäntie),Granath, Johan,
USEUL,SI - Financial Instant Issuance,Euless, TX (Royal Pkwy),Granath, Johan,
USFAI,SDA Sales US,Fairfield, NJ (Little Falls Rd),Granath, Johan,
UKFAR,record Blantyre UK (RUK),Farnborough (Invincible Road),Granath, Johan,
UKFAA,IDT - Omni-ID Ltd UK,Farnham (The Enterprise Centre),Barford, Zak,
CHFEH,record Switzerland (RTF),Fehraltorf (Allmendstrasse 24),Granath, Johan,
USFLO,PDS Sales US,Florence, MS (Hwy 49 S),Granath, Johan,
USFOR,IDT - BluVision,Fort Lauderdale, FL (Corporate Dr),Granath, Johan,
USDAN,Marine US,Fort Lauderdale, FL (Powerline Rd),Granath, Johan,
CNCHE,BSI Prod China Foshan,Foshan (Lianzhong Rd),Granath, Johan,
DEVIG,ASSA ABLOY AB,Frankfurt (Escborner Landsstrasse),Granath, Johan,
USFRA,record RAD US,Franklin (International Drive),Granath, Johan,
DKEGE,Certego Denmark,Fredericia (Egeskovvej),Granath, Johan,
NOROL,Certego Norway,Fredrikstad (Stabburveie),Granath, Johan,
USFRM,SDA Sales US,Fremont, CA (Christy St),Granath, Johan,
USFRE,HID Corporation IAM PACS (HID),Fremont, CA (Dumbarton Cir),Granath, Johan,
USFMT,EAT - CrossMatch Commercial US,Fremont, CA (Kaiser Dr),Avaiya, Yash,
USFRN,PDS Sales US,Fresno (5494 E Lamona Ave),Pereira, John,
USFRS,SDA Sales US,Fresno, CA (S. Angus Ave),Granath, Johan,
NOFOR,Certego Norway,F?rde (Sanderplassen),Granath, Johan,
IEGAL,HID Global Ireland Teoranta - Prod (AONTEC),Galway (Baile na hAbhann),Granath, Johan,
IEGLY,Corporate HIDG Ireland,Galway (Mervue Business Park),Melvin, Gerard,
IEGWY,HID Global Ireland Teoranta - Prod (AONTEC),Galway (Mervue),Granath, Johan,
IEGLW,HID Global Ireland Teoranta - Prod (AONTEC),Galway (Wellpark Rd),Granath, Johan,
AUTOW,ASSA ABLOY Australia Pty Ltd,Garbutt, QLD North,Granath, Johan,
USGAR,Curries,Garland, TX (Marquis St),Granath, Johan,
PLGDA,Mercor Poland,Gdansk (ul Arkonska),Granath, Johan,
CHGEN,Mul-T-Lock France,Geneva (Rue du Dauphiné),Granath, Johan,
ZAGEO,Inhep Electronics Holdings,George (Meade Street),Granath, Johan,
NOGJO,Certego Norway,Gj?vik (Kallerudsvingen),Granath, Johan,
PLGLO,FF Poland,Glowno (Norblina),Granath, Johan,
NLGOR,Hospitality Benelux,Gorinchem (Stephensonweg),Granath, Johan,
SEEBO,CERTEGO Sweden,Gothenburg (Olof Asklundsgata),Granath, Johan,
USGRN,R.E Schaub Enterprises,Grand Rapids, MI (Talon Ct SE),Granath, Johan,
USGRA,SDA Sales US,Grand Rapids, MI (Turner Ave NW),Granath, Johan,
CHGVA,HID IDT Global/Corp Switzerland,Granges,Granath, Johan,
ATGRA,HID Global Gmbh Walluf,Graz (Waagner-Biro-Str),Granath, Johan,
USGRE,BSI DB NA SEDD,Greenville, SC (Perimeter Rd),Granath, Johan,
FRGRE,record Portes Automatiques France (RPA),Grentheville (rue des Fr?res Chappes),Granath, Johan,
SGIDC,ASSA ABLOY AB,GSSC Data center APAC Primary,Granath, Johan,
CNIDC,ASSA ABLOY AB,GSSC Data center China Mainland Primary,Granath, Johan,
DEMEE,ASSA ABLOY AB,GSSC Data center Europe Primary,Granath, Johan,
DEDUS,ASSA ABLOY AB,GSSC Data center Europe Secondary,Granath, Johan,
USDC1,ASSA ABLOY AB,GSSC Data center North America Primary,Rockstedt, Jan,
USDC2,ASSA ABLOY AB,GSSC Data center North America Secondary,Rockstedt, Jan,
MXGUA,SDA Sales Mexico (AGD),Guadalajara (Av. Vicente Guerrero 224),Granath, Johan,
MXANI,Cerraduras Tesa - ICSBS,Guadalajara, Jalisco (Av. Periferico Sur),Granath, Johan,
MXJAL,BSI DB NA CS Tamu US,Guadalajara, Jalisco (Paseo De Las Lomas, Int 13 Ext 37),Granath, Johan,
CNVG2,ASSA ABLOY AB,Guangzhou (RENMINZHONG COLOCATION CENTER),Granath, Johan,
CNPAN,Smart Technology Company,Guangzhou (Xieshi Road, Panyu District),Granath, Johan,
GTGUA,ASSA ABLOY Guatemala S.A.,Guatemala city (Euro Plaza Business Center),Granath, Johan,
INJAM,Shree Mahavir Metalcraft,Gujarat (Road No 6, Phase 3),Granath, Johan,
KRGUN,iRevo-ASSA ABLOY Korea domestic,Gunpo-si (Gongdan-ro),Granath, Johan,
INGRN,ASSA ABLOY AB,Gurgaon, Haryana (Anath Rd),Tyagi, Robin,
INDEA,Hospitality India,Gurgaon, Haryana (DLF Cyber Terraces),Granath, Johan,
INDEL,ASSA ABLOY Asia Pacific Ltd,Gurgaon, Haryana (DLF Cyber Terraces),Granath, Johan,
KRBUC,PDS Korea,Gyeonggi-do (Bucheon),Granath, Johan,
KRHWA,iRevo-ASSA ABLOY Korea export,Gyeonggi-do (Hwaseong-si),Granath, Johan,
SEGAV,CERTEGO Sweden,Gävle (Apelgatan),Granath, Johan,
SEGBG,ASSA ABLOY Opening Solutions Sweden Sales,Göteborg (Arendals Allé),Rehn, Mikael,
SEGOT,ASSA ABLOY Opening Solutions Sweden Sales,Göteborg (Hamneviksvägen 100),Rehn, Mikael,
USLOD,Mul-T-Lock U.S.A.,Hackensack, NJ (Commerce Way),Granath, Johan,
USNJW,Valli and Valli USA,Hackensack, NJ (Commerce Way),Re, Roberto Carlo,
DEHAL,Doors and Parts Germany,Hallbergmoos (Am Söldnermoos),Granath, Johan,
SEHAL,Phoniro AB,Halmstad (Rörkullsv),Granath, Johan,
USFOW,SDA Sales US,Haltom City, TX (Airport Fwy),Granath, Johan,
NOHAM,Certego Norway,Hamar (Midtstranda),Granath, Johan,
DEHAM,PGA Prod Peiser,Hamburg (Brandstücken),Granath, Johan,
DEHBG,KESO Germany,Hamburg (Niederlassung),Granath, Johan,
USHAM,PDS Sales US,Hamilton, NJ (Horizon Center),Granath, Johan,
ZWHAR,ASSA ABLOY ZIMBABWE (PRIVATE) LIMITED,Harare (Conald Rd),Granath, Johan,
CNHAE,Harbin Xinmao Fire door Manufacturing Co., Ltd.,Harbin,Granath, Johan,
USHRR,KEYper Systems US,Harrisburg, NC (Harrisburg Industrial Park),Granath, Johan,
NOHAR,Certego Norway,Harstad (?smyrveien 3),Granath, Johan,
NOHAU,Certego Norway,Haugesund (Karmsundgata),Granath, Johan,
UKHVH,HID Corporation GB IAM SI,Haverhill,Granath, Johan,
